"id"	"codigo_localidad"	"codigo_postal"	"nombre_localidad"	"nombre_localidad_resumido"	"id_departamento"	"id_provincia"	"ver"
4984	4984		KILOMETRO 55 ,AP.	KILOMETRO 55 ,AP.	535	21	v.1
2981	2981		TREBOLARES	TREBOLARES	327	10	v.1
4239	4239		LOS COROS	LOS COROS	481	18	v.1
3807	3807		EL TALA ,EST.RUIZ DE LOS LLANOS	EL TALA ,EST.RUIZ DE	452	16	v.1
1090	1090		LOS VARELA	LOS VARELA	160	2	v.1
1298	1298		ZAPARINQUI	ZAPARINQUI	166	3	v.1
869	869		SMITH	SMITH	71	1	v.1
4726	4726	2113	PEYRANO	PEYRANO	505	20	v.1
3656	3656		KILOMETRO 57	KILOMETRO 57	421	15	v.1
1839	1839		LOS MOLINOS	LOS MOLINOS	218	5	v.1
384	384		GIRONDO	GIRONDO	11	1	v.1
5351	5351		MARIÑO	MARIÑO	564	23	v.1
319	319		ESPIGAS	ESPIGAS	77	1	v.1
5133	5133		VILLA UNION	VILLA UNION	556	21	v.1
196	196		CHAS	CHAS	97	1	v.1
1997	1997		ROSALES, BLAS DE	ROSALES, BLAS DE	205	5	v.1
1696	1696		KILOMETRO 23	KILOMETRO 23	214	5	v.1
289	289		DUSSAUD ,EST.	DUSSAUD ,EST.	38	1	v.1
1742	1742		LA GILDA	LA GILDA	203	5	v.1
3824	3824		HICKMANN	HICKMANN	444	16	v.1
2942	2942		LAVALLE, RICARDO	LAVALLE, RICARDO	304	10	v.1
3127	3127		SANTO DOMINGO	SANTO DOMINGO	345	11	v.1
5152	5152		DESTACAMENTO NAVAL ESPERANZA	DESTACAMENTO NAVAL E	563	22	v.1
528	528		LAGO EPECUEN	LAGO EPECUEN	43	1	v.1
968	968		VILLANUEVA	VILLANUEVA	25	1	v.1
632	632		MONSALVO	MONSALVO	134	1	v.1
3745	3745		APOLINARIO SARAVIA	APOLINARIO SARAVIA	432	16	v.1
2087	2087	5155	TANTI	TANTI	207	5	v.1
3887	3887		MOJOTORO	MOJOTORO	455	16	v.1
4615	4615		KILOMETRO 17 ,EMB.	KILOMETRO 17 ,EMB.	521	20	v.1
4917	4917		CHAUPI POZO	CHAUPI POZO	528	21	v.1
3760	3760		CAMPO DURAN	CAMPO DURAN	446	16	v.1
2623	2623		BUENA VISTA	BUENA VISTA	280	8	v.1
1933	1933		PILAR	PILAR	226	5	v.1
1893	1893		NAZCA	NAZCA	224	5	v.1
4711	4711		NUEVO ALBERDI ,EST.	NUEVO ALBERDI ,EST.	503	20	v.1
2841	2841		SAYATE	SAYATE	288	9	v.1
4173	4173		EL DURAZNO	EL DURAZNO	487	18	v.1
1193	1193		EL PINTADO	EL PINTADO	166	3	v.1
579	579		LOS PINOS	LOS PINOS	62	1	v.1
60	60		ARBOLITO	ARBOLITO	44	1	v.1
4817	4817	3024	SARMIENTO	SARMIENTO	524	20	v.1
780	780		RIVADAVIA ,EST.AMERICA	RIVADAVIA ,EST.AMERI	58	1	v.1
1353	1353		INGENIERO BRUNO J.THOMAE ,AP.	INGENIERO BRUNO J.TH	193	4	v.1
4580	4580	3044	GOBERNADOR CRESPO	GOBERNADOR CRESPO	517	20	v.1
1421	1421		ALTA GRACIA	ALTA GRACIA	214	5	v.1
796	796		SAAVEDRA	SAAVEDRA	31	1	v.1
4807	4807	3000	SANTA FE	SANTA FE	508	20	v.1
823	823		SAN GERMAN	SAN GERMAN	2	1	v.1
3002	3002		ANGUINAN	ANGUINAN	339	11	v.1
3971	3971		TRES YUCHANES	TRES YUCHANES	436	16	v.1
4033	4033		LA LAJA	LA LAJA	461	17	v.1
2739	2739		CORANZULI	CORANZULI	296	9	v.1
4249	4249		NAHUEL MAPA	NAHUEL MAPA	482	18	v.1
1184	1184		COLONIA POPULAR	COLONIA POPULAR	175	3	v.1
2879	2879		APUYACO	APUYACO	308	10	v.1
173	173		CARHUE	CARHUE	43	1	v.1
775	775		RETA	RETA	63	1	v.1
3457	3457		PUERTO LONDERO	PUERTO LONDERO	374	13	v.1
4858	4858	2503	VILLA ELOISA	VILLA ELOISA	510	20	v.1
4925	4925		COLONIA TOTORILLAS	COLONIA TOTORILLAS	540	21	v.1
748	748		PUERTO GALVAN	PUERTO GALVAN	18	1	v.1
2881	2881		ATALIVA ROCA	ATALIVA ROCA	312	10	v.1
4880	4880		ALHUAMPA	ALHUAMPA	529	21	v.1
4004	4004		CASTAÑO VIEJO	CASTAÑO VIEJO	467	17	v.1
372	372		GENERAL PINTO	GENERAL PINTO	38	1	v.1
3466	3466		PUERTO PENINSULA	PUERTO PENINSULA	375	13	v.1
522	522		LA SORTIJA	LA SORTIJA	63	1	v.1
1304	1304		ALTO RIO SENGUERR	ALTO RIO SENGUERR	188	4	v.1
1700	1700		KILOMETRO 316 ,AP.	KILOMETRO 316 ,AP.	221	5	v.1
3988	3988		ANGACO NORTE ,EST	ANGACO NORTE ,EST	464	17	v.1
905	905		TRES ARROYOS	TRES ARROYOS	63	1	v.1
3415	3415	3328	JARDIN AMERICA	JARDIN AMERICA	387	13	v.1
1518	1518		CHARRAS	CHARRAS	208	5	v.1
5261	5261		FINCA ELISA	FINCA ELISA	568	23	v.1
3754	3754		CACHIPAMPA	CACHIPAMPA	440	16	v.1
1080	1080		LAS CUEVAS	LAS CUEVAS	156	2	v.1
2055	2055		SANTA CATALINA	SANTA CATALINA	215	5	v.1
1910	1910		ORO GRUESO	ORO GRUESO	222	5	v.1
4660	4660		LAS PETACAS	LAS PETACAS	523	20	v.1
2551	2551		PARERA, RAMONA A. ,EMB.	PARERA, RAMONA A. ,E	266	7	v.1
1877	1877		MINA CLAVERO	MINA CLAVERO	215	5	v.1
4156	4156		COLONIA URDANIZ	COLONIA URDANIZ	482	18	v.1
1412	1412		AGUILA BLANCA	AGUILA BLANCA	207	5	v.1
3406	3406		GENERAL ALVEAR	GENERAL ALVEAR	385	13	v.1
3573	3573		QUILI MALAL	QUILI MALAL	403	14	v.1
260	260		DE LA RIESTRA, NORBERTO	DE LA RIESTRA, NORBE	5	1	v.1
3632	3632		FORTIN UNO	FORTIN UNO	420	15	v.1
1303	1303		ALTO RIO MAYO	ALTO RIO MAYO	188	4	v.1
2409	2409	3142	BOVRIL	BOVRIL	273	7	v.1
168	168		CAPITAN SARMIENTO	CAPITAN SARMIENTO	88	1	v.1
4229	4229		LAS VERTIENTES	LAS VERTIENTES	493	18	v.1
1716	1716		KILOMETRO 730 ,AP.	KILOMETRO 730 ,AP.	213	5	v.1
2597	2597		UBAJAY	UBAJAY	268	7	v.1
5269	5269		GUZMAN	GUZMAN	568	23	v.1
709	709		PELLEGRINI	PELLEGRINI	78	1	v.1
5248	5248		EL JARDIN	EL JARDIN	566	23	v.1
3332	3332		SAN ROQUE	SAN ROQUE	363	12	v.1
3001	3001		ANDALUCAS	ANDALUCAS	336	11	v.1
1524	1524		CHUÑA HUASI	CHUÑA HUASI	225	5	v.1
2987	2987		VAN PRAET, ADOLFO	VAN PRAET, ADOLFO	304	10	v.1
5166	5166		PUERTO ARGENTINO	PUERTO ARGENTINO	562	22	v.1
4989	4989		KILOMETRO 969 ,EMB.	KILOMETRO 969 ,EMB.	535	21	v.1
1020	1020		CHAÑARITOS	CHAÑARITOS	153	2	v.1
5138	5138		ZANJON ,EST.	ZANJON ,EST.	536	21	v.1
1673	1673		HUANCHILLA	HUANCHILLA	208	5	v.1
3344	3344		USPALLATA ,EST.	USPALLATA ,EST.	370	12	v.1
1402	1402		TELSEN	TELSEN	196	4	v.1
4571	4571		GALISTEO	GALISTEO	511	20	v.1
3695	3695		PASO FLORES	PASO FLORES	424	15	v.1
2984	2984		UNANJE	UNANJE	324	10	v.1
2961	2961		PUELCHES	PUELCHES	329	10	v.1
2166	2166		YACANTO	YACANTO	228	5	v.1
2316	2316		NARANJITO	NARANJITO	241	6	v.1
65	65		ARISTOBULO DEL VALLE ,EST.	ARISTOBULO DEL VALLE	48	1	v.1
1133	1133		SANTA CRUZ	SANTA CRUZ	154	2	v.1
4759	4759		ROLDAN	ROLDAN	506	20	v.1
2186	2186		BATEL	BATEL	248	6	v.1
1908	1908		ONGAMIRA	ONGAMIRA	219	5	v.1
4381	4381		LAS TRES HERMANAS	LAS TRES HERMANAS	496	19	v.1
2151	2151		VILLA REDUCCION	VILLA REDUCCION	208	5	v.1
4643	4643		LA RUBIA	LA RUBIA	509	20	v.1
1358	1358		KILOMETRO 191 ,AP.	KILOMETRO 191 ,AP.	192	4	v.1
4006	4006		CHIGUA	CHIGUA	465	17	v.1
1236	1236		LA LEONESA	LA LEONESA	176	3	v.1
4899	4899		BANDERA BAJADA	BANDERA BAJADA	540	21	v.1
3927	3927		RIO PIEDRAS	RIO PIEDRAS	437	16	v.1
5068	5068		ROBLES	ROBLES	547	21	v.1
3526	3526		CHOS MALAL	CHOS MALAL	402	14	v.1
4426	4426		AMENABAR	AMENABAR	502	20	v.1
1821	1821		LOS ALTOS	LOS ALTOS	205	5	v.1
838	838	2930	SAN PEDRO	SAN PEDRO	102	1	v.1
1801	1801		LAS PEÑAS	LAS PEÑAS	204	5	v.1
3582	3582		TRICAO MALAL	TRICAO MALAL	402	14	v.1
4224	4224		LAS CHIMBAS	LAS CHIMBAS	484	18	v.1
1427	1427		ALTOS DE CHIPION	ALTOS DE CHIPION	210	5	v.1
682	682		ORTIZ DE ROSAS	ORTIZ DE ROSAS	5	1	v.1
1626	1626		EL SAUCE	EL SAUCE	205	5	v.1
5137	5137		YUCHAN	YUCHAN	552	21	v.1
5343	5343		LOS SOSA	LOS SOSA	566	23	v.1
3227	3227		GERMANIA	GERMANIA	369	12	v.1
4614	4614		KILOMETR 465 ,EST.	KILOMETR 465 ,EST.	523	20	v.1
183	183	1678	CASEROS	CASEROS	91	1	v.1
1120	1120		SAN ANTONIO	SAN ANTONIO	158	2	v.1
3581	3581		TRES CHORROS	TRES CHORROS	410	14	v.1
1515	1515		CHAÑARITOS	CHAÑARITOS	203	5	v.1
2896	2896		CHACHARRAMENDI	CHACHARRAMENDI	324	10	v.1
3532	3532		COPAHUE	COPAHUE	410	14	v.1
4369	4369		JARAMILLO	JARAMILLO	496	19	v.1
2461	2461		FEBRE	FEBRE	262	7	v.1
1639	1639		ESCALANTE, WENCESLAO	ESCALANTE, WENCESLAO	216	5	v.1
4342	4342		COMANDANTE LUIS PIEDRA BUENA	COMANDANTE LUIS PIED	500	19	v.1
1156	1156		YERBA BUENA	YERBA BUENA	149	2	v.1
1065	1065		LA BAJADA	LA BAJADA	150	2	v.1
684	684		OTOÑO ,EST.	OTOÑO ,EST.	69	1	v.1
1483	1483		CANALS	CANALS	216	5	v.1
4919	4919		CHILCA LA LOMA	CHILCA LA LOMA	546	21	v.1
1432	1432		ARGUELLO	ARGUELLO	213	5	v.1
4246	4246		MERCEDES ,EST.VILLA MERCEDES	MERCEDES ,EST.VILLA 	488	18	v.1
3136	3136		TERMAS SANTA TERESITA	TERMAS SANTA TERESIT	334	11	v.1
805	805		SALVADOR MARIA	SALVADOR MARIA	41	1	v.1
1607	1607		EL DURAZNO	EL DURAZNO	227	5	v.1
1254	1254		MACHAGAI	MACHAGAI	170	3	v.1
4670	4670		LOMA ALTA	LOMA ALTA	514	20	v.1
3281	3281		MAYOR DRUMMOND	MAYOR DRUMMOND	370	12	v.1
2970	2970		RIGLOS, MIGUEL	RIGLOS, MIGUEL	313	10	v.1
3119	3119		SAN PEDRO	SAN PEDRO	331	11	v.1
3916	3916		PUEBLO VIEJO	PUEBLO VIEJO	450	16	v.1
1661	1661		GENERAL PAZ	GENERAL PAZ	205	5	v.1
4160	4160		CORONEL SEGOVIA	CORONEL SEGOVIA	482	18	v.1
4077	4077		RIVADAVIA	RIVADAVIA	468	17	v.1
3791	3791		EL ALISAL	EL ALISAL	441	16	v.1
